_id,YIL,AY,ILCE,MAHALLE,KISIRLASTIRILAN_HAYVAN_NOKTALARI,ADET
1,2020,1,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,401
2,2020,1,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,145
3,2020,2,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,343
4,2020,2,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,299
5,2020,3,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,372
6,2020,3,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,154
7,2020,4,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,195
8,2020,4,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,110
9,2020,5,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,251
10,2020,5,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,88
11,2020,6,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,380
12,2020,6,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,149
13,2020,7,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,305
14,2020,7,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,106
15,2020,8,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,301
16,2020,8,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,200
17,2020,9,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,188
18,2020,9,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,164
19,2020,10,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,320
20,2020,10,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,180
21,2020,11,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,350
22,2020,11,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,131
23,2020,12,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,415
24,2020,12,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,145
25,2021,1,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,512
26,2021,1,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,137
27,2021,1,Ilce Hizmet Birimleri,,,717
28,2021,2,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,520
29,2021,2,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,180
30,2021,2,Ilce Hizmet Birimleri,,,947
31,2021,3,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,556
32,2021,3,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,155
33,2021,3,Ilce Hizmet Birimleri,,,990
34,2021,4,Konak,Alsancak,Veteriner isleri Kucuk Hayvan poliklinigi,474
35,2021,4,Bornova,Isikkent,Isikkent- seyrek Kopek Bakimevi,164
36,2021,4,Ilce Hizmet Birimleri,,,905
