_id,YIL,AY,FAALIYET_TURU,ADET
1,2020,1,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,692
2,2020,2,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,715
3,2020,3,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,810
4,2020,4,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,733
5,2020,5,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,1232
6,2020,6,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,1388
7,2020,7,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,1390
8,2020,8,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,1112
9,2020,9,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,857
10,2020,10,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,1072
11,2020,11,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,931
12,2020,12,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,792
13,2021,1,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,904
14,2021,2,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,706
15,2021,3,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,777
16,2021,4,Acil Mudahale Ekibi Mudahale Edilen Hayvan Sayisi,907
